project_id,budget_post,budget_nok,additional_nok,budget_incl_additional_nok,paid_nok
240-DCM103,Building costs,1999850578,0,1999850578,484433811
240-DCM103,Outdoor areas,2000000,0,2000000,0
240-DCM103,General costs,121200000,0,121200000,26642497
240-DCM103,Technical infrastructure,51800000,0,51800000,99884
240-DCM103,Land/area,5000000,0,5000000,4930598
240-DCM103,Finance cost,0,0,0,0
240-DCM103,Contingency,104042529,0,104042529,0
240-DCM103,SUM - PROJECT COST,2283893107,0,2283893107,516106790
